cname,carea,ename,earea,Education,Recreation and Sports,Health,Culture,Total
中西區,香港島,Central and Western,Hong Kong Island,3,15,15,4,37
灣仔區,香港島,Wan Chai,Hong Kong Island,7,7,15,3,32
東區,香港島,Eastern,Hong Kong Island,7,20,15,11,53
南區,香港島,Southern,Hong Kong Island,2,10,2,9,23
油尖旺區,九龍,Yau Tsim Mong,Kowloon,5,19,14,6,44
深水埗區,九龍,Sham Shui Po,Kowloon,4,20,7,9,40
九龍城區,九龍,Kowloon City,Kowloon,7,32,12,7,58
黃大仙區,九龍,Wong Tai Sin,Kowloon,2,15,10,9,36
觀塘區,九龍,Kwun Tong,Kowloon,4,28,18,15,65
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,0,27,13,14,54
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,3,17,6,9,35
屯門區,新界及離島,Tuen Mun,New Territories and Islands,3,19,15,13,50
元朗區,新界及離島,Yuen Long,New Territories and Islands,7,24,9,15,55
北區,新界及離島,North,New Territories and Islands,3,35,13,10,61
大埔區,新界及離島,Tai Po,New Territories and Islands,2,15,6,9,32
沙田區,新界及離島,Sha Tin,New Territories and Islands,3,16,10,19,48
西貢區,新界及離島,Sai Kung,New Territories and Islands,2,9,5,10,26
離島區,新界及離島,Islands,New Territories and Islands,1,17,8,12,38