cname,carea,ename,earea,air,Noise,facility,traffic,income,education,houseprice,population,financial,environment
____,_°ç____å³,Tsuen Wan,New Territories and Islands,3,14,24,16,30,11,42,320.1,83,57
_¢å³¶_,_°ç____å³,Islands,New Territories and Islands,16,17,36,6,22,12,45,185.3,79,75
____,_°ç____å³,Yuen Long,New Territories and Islands,5,1,8,14,14,7,51,185.3,72,28
å±__,_°ç____å³,Tuen Mun,New Territories and Islands,4,9,18,8,12,5,54,506.9,71,39
å¤§å__,_°ç____å³,Tai Po,New Territories and Islands,17,13,4,12,16,8,39,316.5,63,46
è¥¿è²¢_,_°ç____å³,Sai Kung,New Territories and Islands,18,11,2,2,32,16,15,489,63,33
___,_°ç____å³,North,New Territories and Islands,11,12,34,4,10,4,48,309.6,62,61
ä¹_____,ä¹__,Kowloon City,Kowloon,9,5,26,26,24,15,21,410.6,60,66
_£ä__,é¦_¸¯å³,Wan Chai,Hong Kong Island,7,7,32,36,34,18,6,166.7,58,82
_±å_,é¦_¸¯å³,Eastern,Hong Kong Island,14,10,20,32,26,13,18,529.6,57,76
ä¸¥¿_,é¦_¸¯å³,Central and Western,Hong Kong Island,13,3,30,34,36,17,3,236,56,76
æ²___,_°ç____å³,Sha Tin,New Territories and Islands,10,8,6,10,18,10,24,692.8,52,34
___,é¦_¸¯å³,Southern,Hong Kong Island,15,18,10,30,28,9,9,263.3,46,73
æ²¹å__ºå_,ä¹__,Yau Tsim Mong,Kowloon,8,2,28,28,20,13,12,310.6,45,66
è§å¡__,ä¹__,Kwun Tong,Kowloon,1,6,16,20,4,3,36,673.2,43,43
_µé__,_°ç____å³,Kwai Tsing,New Territories and Islands,2,15,22,18,8,1,33,495.8,42,57
é»_¤§ä»__,ä¹__,Wong Tai Sin,Kowloon,12,16,12,22,6,2,30,406.8,38,62
æ·±æ°´___,ä¹__,Sham Shui Po,Kowloon,6,4,14,24,2,6,27,431.1,35,48